result,isNotional,electorate,turnout,majority,electionTitle,electionDate,electionId,isGeneralElection,constituencyName,candidates,winningParty.id,winningParty.name,winningParty.abbreviation,winningParty.backgroundColour,winningParty.foregroundColour,winningParty.isLordsMainParty,winningParty.isLordsSpiritualParty,winningParty.governmentType,winningParty.isIndependentParty,constituency_id
Lab Hold,False,80735,43435,11634,2024 General Election,2024-07-04T00:00:00,422,True,Stratford and Bow,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4340
LD Gain,False,75714,52959,7122,2024 General Election,2024-07-04T00:00:00,422,True,Stratford-on-Avon,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4341
Lab Hold,False,82829,44553,15603,2024 General Election,2024-07-04T00:00:00,422,True,Streatham and Croydon North,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4342
Lab Hold,False,75153,46002,16150,2024 General Election,2024-07-04T00:00:00,422,True,Stretford and Urmston,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4343
Lab Gain,False,77905,55221,11388,2024 General Election,2024-07-04T00:00:00,422,True,Stroud,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4344
Lab Gain,False,74522,49451,1070,2024 General Election,2024-07-04T00:00:00,422,True,Suffolk Coastal,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4345
Lab Hold,False,76145,39957,6073,2024 General Election,2024-07-04T00:00:00,422,True,Sunderland Central,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4346
LD Gain,False,71934,47788,5640,2024 General Election,2024-07-04T00:00:00,422,True,Surrey Heath,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4347
Con Hold,False,72885,49175,6842,2024 General Election,2024-07-04T00:00:00,422,True,Sussex Weald,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,4348
LD Gain,False,72303,47606,3801,2024 General Election,2024-07-04T00:00:00,422,True,Sutton and Cheam,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4349
Con Hold,False,74080,48333,2543,2024 General Election,2024-07-04T00:00:00,422,True,Sutton Coldfield,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,4350
Lab Hold,False,74236,35657,8515,2024 General Election,2024-07-04T00:00:00,422,True,Swansea West,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4523
Lab Gain,False,73224,44165,4103,2024 General Election,2024-07-04T00:00:00,422,True,Swindon North,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4351
Lab Gain,False,72575,44794,9606,2024 General Election,2024-07-04T00:00:00,422,True,Swindon South,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4352
Lab Gain,False,75055,43788,1382,2024 General Election,2024-07-04T00:00:00,422,True,Tamworth,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4353
Con Hold,False,75978,51909,1136,2024 General Election,2024-07-04T00:00:00,422,True,Tatton,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,4354
LD Gain,False,78680,50294,11939,2024 General Election,2024-07-04T00:00:00,422,True,Taunton and Wellington,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4355
Lab Gain,False,73808,40730,8102,2024 General Election,2024-07-04T00:00:00,422,True,Telford,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4356
LD Gain,False,73458,48539,6262,2024 General Election,2024-07-04T00:00:00,422,True,Tewkesbury,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4357
Con Hold,False,78942,50020,883,2024 General Election,2024-07-04T00:00:00,422,True,The Wrekin,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,4358
Con Hold,False,78468,49797,7550,2024 General Election,2024-07-04T00:00:00,422,True,Thirsk and Malton,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,4359
LD Gain,False,78192,53367,3014,2024 General Election,2024-07-04T00:00:00,422,True,Thornbury and Yate,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4360
Lab Gain,False,73392,37558,6474,2024 General Election,2024-07-04T00:00:00,422,True,Thurrock,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4361
Lab Gain,False,74098,31850,3385,2024 General Election,2024-07-04T00:00:00,422,True,Tipton and Wednesbury,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4362
LD Gain,False,72087,47491,3507,2024 General Election,2024-07-04T00:00:00,422,True,Tiverton and Minehead,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4363
Con Hold,False,72799,50328,11166,2024 General Election,2024-07-04T00:00:00,422,True,Tonbridge,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,4364
Lab Hold,False,76168,52943,19487,2024 General Election,2024-07-04T00:00:00,422,True,Tooting,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4365
LD Gain,False,76185,46115,5349,2024 General Election,2024-07-04T00:00:00,422,True,Torbay,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4366
Lab Hold,False,71738,35705,7322,2024 General Election,2024-07-04T00:00:00,422,True,Torfaen,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4524
Con Hold,False,74727,50820,3950,2024 General Election,2024-07-04T00:00:00,422,True,Torridge and Tavistock,[],4,Conservative,Con,0063ba,ffffff,True,False,,False,4367
Lab Hold,False,75906,40148,15434,2024 General Election,2024-07-04T00:00:00,422,True,Tottenham,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4368
Lab Gain,False,72982,50264,8151,2024 General Election,2024-07-04T00:00:00,422,True,Truro and Falmouth,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4369
LD Gain,False,78738,54250,8687,2024 General Election,2024-07-04T00:00:00,422,True,Tunbridge Wells,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4370
LD Hold,False,74980,53635,21457,2024 General Election,2024-07-04T00:00:00,422,True,Twickenham,[],17,Liberal Democrat,LD,faa01a,FFFFFF,True,False,,False,4371
Lab Hold,False,73194,48418,15455,2024 General Election,2024-07-04T00:00:00,422,True,Tynemouth,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4372
DUP Hold,False,81249,47358,7406,2024 General Election,2024-07-04T00:00:00,422,True,Upper Bann,[],7,Democratic Unionist Party,DUP,d46a4c,FFFFFF,False,True,,False,4437
Lab Gain,False,74745,45914,587,2024 General Election,2024-07-04T00:00:00,422,True,Uxbridge and South Ruislip,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4373
Lab Gain,False,74465,45826,4216,2024 General Election,2024-07-04T00:00:00,422,True,Vale of Glamorgan,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4525
Lab Hold,False,77527,37536,15112,2024 General Election,2024-07-04T00:00:00,422,True,Vauxhall and Camberwell Green,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4374
Lab Gain,False,75067,40656,9346,2024 General Election,2024-07-04T00:00:00,422,True,Wakefield and Rothwell,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4375
Lab Hold,False,74082,42746,17996,2024 General Election,2024-07-04T00:00:00,422,True,Wallasey,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4376
Lab Gain,False,74951,37191,4914,2024 General Election,2024-07-04T00:00:00,422,True,Walsall and Bloxwich,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4377
Lab Hold,False,74474,45668,17996,2024 General Election,2024-07-04T00:00:00,422,True,Walthamstow,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4378
Lab Hold,False,70601,40041,9190,2024 General Election,2024-07-04T00:00:00,422,True,Warrington North,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4379
Lab Hold,False,78394,49672,11340,2024 General Election,2024-07-04T00:00:00,422,True,Warrington South,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4380
Lab Hold,False,76294,49198,12412,2024 General Election,2024-07-04T00:00:00,422,True,Warwick and Leamington,[],15,Labour,Lab,d50000,ffffff,True,True,,False,4381
